DATE,SERIES,Day,Month,Quarter,Year,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,No of Trades
24-Jun-25,EQ,Tuesday,June,Q2,2025,2504.00,2544.60,2500.20,2472.00,2505.00,2505.60,2523.06,3258.00,2025.00,996405.00,53316.00
23-Jun-25,EQ,Monday,June,Q2,2025,2438.00,2492.60,2421.00,2448.40,2466.00,2472.00,2467.70,3258.00,2025.00,790535.00,34421.00
20-Jun-25,EQ,Friday,June,Q2,2025,2428.00,2461.30,2415.00,2420.60,2449.60,2448.40,2447.49,3345.00,2025.00,3002549.00,67242.00
19-Jun-25,EQ,Thursday,June,Q2,2025,2466.30,2468.90,2405.10,2459.10,2414.00,2420.60,2431.18,3345.00,2025.00,688209.00,46707.00
18-Jun-25,EQ,Wednesday,June,Q2,2025,2491.90,2495.90,2445.40,2488.50,2456.90,2459.10,2467.90,3345.00,2025.00,667044.00,40514.00
17-Jun-25,EQ,Tuesday,June,Q2,2025,2535.00,2539.60,2479.00,2544.00,2485.20,2488.50,2499.54,3345.00,2025.00,703343.00,34502.00
16-Jun-25,EQ,Monday,June,Q2,2025,2500.00,2563.30,2462.00,2507.90,2539.90,2544.00,2527.44,3345.00,2025.00,956459.00,41826.00
13-Jun-25,EQ,Friday,June,Q2,2025,2498.00,2516.00,2460.00,2543.70,2506.00,2507.90,2502.73,3345.00,2025.00,695869.00,41308.00
12-Jun-25,EQ,Thursday,June,Q2,2025,2591.50,2601.80,2530.00,2581.20,2536.00,2543.70,2561.98,3345.00,2025.00,955097.00,57018.00
11-Jun-25,EQ,Wednesday,June,Q2,2025,2630.00,2630.90,2563.10,2613.10,2584.10,2581.20,2596.52,3345.00,2025.00,745432.00,37014.00
10-Jun-25,EQ,Tuesday,June,Q2,2025,2600.00,2663.20,2577.70,2582.10,2618.00,2613.10,2626.35,3345.00,2025.00,2084054.00,86665.00
9-Jun-25,EQ,Monday,June,Q2,2025,2545.00,2604.10,2524.50,2534.20,2582.00,2582.10,2568.33,3345.00,2025.00,1711167.00,56427.00
6-Jun-25,EQ,Friday,June,Q2,2025,2514.90,2553.30,2504.00,2504.40,2535.00,2534.20,2534.95,3743.90,2025.00,640680.00,53932.00
5-Jun-25,EQ,Thursday,June,Q2,2025,2495.00,2530.10,2487.50,2489.40,2510.00,2504.40,2510.52,3743.90,2025.00,673209.00,38579.00
4-Jun-25,EQ,Wednesday,June,Q2,2025,2480.00,2503.00,2441.10,2470.90,2487.00,2489.40,2475.85,3743.90,2025.00,552667.00,34151.00
3-Jun-25,EQ,Tuesday,June,Q2,2025,2511.00,2512.50,2452.00,2518.80,2471.10,2470.90,2480.64,3743.90,2025.00,962708.00,48961.00
2-Jun-25,EQ,Monday,June,Q2,2025,2527.00,2564.00,2514.90,2519.90,2524.70,2518.80,2534.89,3743.90,2025.00,1008716.00,49113.00
30-May-25,EQ,Friday,May,Q2,2025,2550.00,2564.00,2513.80,2540.80,2518.00,2519.90,2530.54,3743.90,2025.00,684592.00,37146.00
29-May-25,EQ,Thursday,May,Q2,2025,2536.70,2559.00,2511.00,2515.00,2543.00,2540.80,2535.48,3743.90,2025.00,802317.00,41626.00
28-May-25,EQ,Wednesday,May,Q2,2025,2559.00,2559.00,2510.00,2540.30,2517.50,2515.00,2529.94,3743.90,2025.00,575989.00,26261.00
27-May-25,EQ,Tuesday,May,Q2,2025,2545.90,2569.10,2526.10,2547.70,2536.00,2540.30,2547.98,3743.90,2025.00,514936.00,37644.00
26-May-25,EQ,Monday,May,Q2,2025,2549.10,2568.90,2541.30,2540.00,2543.60,2547.70,2554.17,3743.90,2025.00,552912.00,31870.00
23-May-25,EQ,Friday,May,Q2,2025,2499.00,2548.10,2490.50,2487.60,2537.00,2540.00,2530.50,3743.90,2025.00,968415.00,37154.00
22-May-25,EQ,Thursday,May,Q2,2025,2500.40,2521.90,2465.30,2500.40,2496.60,2487.60,2492.02,3743.90,2025.00,906909.00,50284.00
21-May-25,EQ,Wednesday,May,Q2,2025,2509.70,2524.50,2483.70,2501.60,2503.00,2500.40,2503.22,3743.90,2025.00,529234.00,34568.00
20-May-25,EQ,Tuesday,May,Q2,2025,2545.00,2564.80,2492.50,2540.60,2505.90,2501.60,2530.10,3743.90,2025.00,628023.00,42558.00
19-May-25,EQ,Monday,May,Q2,2025,2571.30,2578.80,2536.00,2555.00,2538.00,2540.60,2556.88,3743.90,2025.00,681000.00,41131.00
16-May-25,EQ,Friday,May,Q2,2025,2529.00,2584.20,2516.20,2520.00,2551.00,2555.00,2555.88,3743.90,2025.00,1641135.00,64469.00
15-May-25,EQ,Thursday,May,Q2,2025,2463.40,2526.80,2450.70,2461.90,2519.00,2520.00,2499.39,3743.90,2025.00,1554801.00,106591.00
14-May-25,EQ,Wednesday,May,Q2,2025,2444.90,2481.90,2430.10,2441.20,2463.00,2461.90,2464.92,3743.90,2025.00,774441.00,46754.00
13-May-25,EQ,Tuesday,May,Q2,2025,2425.00,2454.90,2405.00,2425.30,2438.20,2441.20,2430.56,3743.90,2025.00,1815179.00,88886.00
12-May-25,EQ,Monday,May,Q2,2025,2350.00,2433.30,2315.00,2251.00,2425.00,2425.30,2404.10,3743.90,2025.00,2147039.00,89860.00
9-May-25,EQ,Friday,May,Q2,2025,2240.00,2273.10,2233.00,2285.30,2255.00,2251.00,2247.36,3743.90,2025.00,1006000.00,54744.00
8-May-25,EQ,Thursday,May,Q2,2025,2362.00,2367.80,2260.00,2353.10,2270.00,2285.30,2316.22,3743.90,2025.00,1380069.00,77928.00
7-May-25,EQ,Wednesday,May,Q2,2025,2315.00,2379.50,2315.00,2354.00,2349.00,2353.10,2352.03,3743.90,2025.00,1012640.00,72371.00
6-May-25,EQ,Tuesday,May,Q2,2025,2454.00,2463.20,2343.50,2455.50,2350.00,2354.00,2393.88,3743.90,2025.00,1524692.00,76489.00
5-May-25,EQ,Monday,May,Q2,2025,2312.60,2497.00,2297.80,2294.20,2465.00,2455.50,2437.24,3743.90,2025.00,4227194.00,183049.00
2-May-25,EQ,Friday,May,Q2,2025,2349.90,2372.40,2289.40,2301.30,2290.00,2294.20,2324.92,3743.90,2025.00,1958739.00,97216.00
30-Apr-25,EQ,Wednesday,April,Q2,2025,2331.40,2340.00,2285.00,2330.60,2290.00,2301.30,2313.67,3743.90,2025.00,837464.00,52676.00
29-Apr-25,EQ,Tuesday,April,Q2,2025,2392.00,2400.00,2325.60,2369.80,2330.50,2330.60,2353.79,3743.90,2025.00,670730.00,43294.00
28-Apr-25,EQ,Monday,April,Q2,2025,2346.00,2402.00,2337.60,2354.30,2369.10,2369.80,2373.30,3743.90,2025.00,681421.00,48214.00
25-Apr-25,EQ,Friday,April,Q2,2025,2450.10,2459.50,2323.50,2442.50,2346.00,2354.30,2362.60,3743.90,2025.00,1414809.00,82782.00
24-Apr-25,EQ,Thursday,April,Q2,2025,2450.00,2461.40,2425.10,2453.60,2441.00,2442.50,2441.63,3743.90,2025.00,596696.00,45640.00
23-Apr-25,EQ,Wednesday,April,Q2,2025,2460.00,2473.80,2421.20,2445.50,2446.00,2453.60,2448.18,3743.90,2025.00,672262.00,44335.00
22-Apr-25,EQ,Tuesday,April,Q2,2025,2458.90,2483.40,2441.00,2442.70,2442.90,2445.50,2462.49,3743.90,2025.00,766567.00,45565.00
21-Apr-25,EQ,Monday,April,Q2,2025,2426.10,2464.90,2395.50,2418.10,2440.00,2442.70,2436.61,3743.90,2025.00,782559.00,49163.00
17-Apr-25,EQ,Thursday,April,Q2,2025,2418.00,2448.60,2392.00,2415.60,2414.80,2418.10,2423.13,3743.90,2025.00,1054797.00,65818.00
16-Apr-25,EQ,Wednesday,April,Q2,2025,2400.00,2428.00,2382.90,2418.20,2414.10,2415.60,2405.12,3743.90,2025.00,889949.00,49754.00
15-Apr-25,EQ,Tuesday,April,Q2,2025,2375.00,2440.00,2359.00,2321.40,2415.90,2418.20,2410.05,3743.90,2025.00,1145125.00,64533.00
11-Apr-25,EQ,Friday,April,Q2,2025,2303.05,2343.50,2281.00,2236.90,2318.75,2321.40,2317.43,3743.90,2025.00,981463.00,61931.00
9-Apr-25,EQ,Wednesday,April,Q2,2025,2265.70,2279.55,2215.20,2285.70,2243.45,2236.90,2239.69,3743.90,2025.00,1001633.00,56281.00
8-Apr-25,EQ,Tuesday,April,Q2,2025,2270.00,2301.00,2225.00,2212.70,2288.95,2285.70,2273.41,3743.90,2025.00,1224362.00,61791.00
7-Apr-25,EQ,Monday,April,Q2,2025,2150.05,2239.00,2145.00,2334.65,2222.90,2212.70,2195.57,3743.90,2025.00,1567177.00,91075.00
4-Apr-25,EQ,Friday,April,Q2,2025,2394.95,2410.05,2315.50,2410.80,2336.30,2334.65,2344.17,3743.90,2025.00,1219733.00,68843.00
3-Apr-25,EQ,Thursday,April,Q2,2025,2339.75,2429.90,2339.70,2369.40,2414.00,2410.80,2403.94,3743.90,2025.00,1023200.00,59356.00
2-Apr-25,EQ,Wednesday,April,Q2,2025,2339.75,2378.85,2314.55,2335.25,2369.00,2369.40,2352.69,3743.90,2025.00,573928.00,44789.00
1-Apr-25,EQ,Tuesday,April,Q2,2025,2312.00,2358.95,2301.00,2315.80,2340.00,2335.25,2335.05,3743.90,2025.00,501942.00,38905.00
28-Mar-25,EQ,Friday,March,Q1,2025,2376.00,2386.95,2293.70,2363.35,2316.65,2315.80,2330.66,3743.90,2025.00,1838836.00,70667.00
27-Mar-25,EQ,Thursday,March,Q1,2025,2310.00,2373.90,2291.60,2312.60,2363.00,2363.35,2332.26,3743.90,2025.00,1696042.00,81185.00
26-Mar-25,EQ,Wednesday,March,Q1,2025,2324.90,2359.85,2308.05,2320.35,2314.00,2312.60,2332.77,3743.90,2025.00,1078870.00,58779.00
25-Mar-25,EQ,Tuesday,March,Q1,2025,2385.00,2387.65,2315.10,2368.70,2319.50,2320.35,2339.21,3743.90,2025.00,763065.00,46534.00
24-Mar-25,EQ,Monday,March,Q1,2025,2370.00,2395.00,2361.10,2362.80,2370.00,2368.70,2376.20,3743.90,2025.00,1010184.00,39593.00
21-Mar-25,EQ,Friday,March,Q1,2025,2343.80,2389.55,2338.00,2339.30,2365.00,2362.80,2365.79,3743.90,2025.00,1101418.00,55299.00
20-Mar-25,EQ,Thursday,March,Q1,2025,2348.00,2348.00,2299.00,2318.65,2338.05,2339.30,2330.01,3743.90,2025.00,2587051.00,55254.00
19-Mar-25,EQ,Wednesday,March,Q1,2025,2319.95,2342.00,2311.05,2308.50,2316.90,2318.65,2324.68,3743.90,2025.00,1030345.00,42002.00
18-Mar-25,EQ,Tuesday,March,Q1,2025,2274.00,2314.20,2259.75,2252.70,2304.55,2308.50,2291.19,3743.90,2025.00,878007.00,47968.00
17-Mar-25,EQ,Monday,March,Q1,2025,2200.00,2286.90,2198.00,2221.10,2251.00,2252.70,2255.72,3743.90,2025.00,927737.00,52613.00
13-Mar-25,EQ,Thursday,March,Q1,2025,2249.00,2273.00,2215.60,2241.80,2222.45,2221.10,2237.90,3743.90,2025.00,750310.00,52311.00
12-Mar-25,EQ,Wednesday,March,Q1,2025,2270.00,2280.00,2180.95,2250.60,2236.00,2241.80,2230.69,3743.90,2025.00,1049076.00,56794.00
11-Mar-25,EQ,Tuesday,March,Q1,2025,2223.15,2267.85,2208.30,2228.30,2252.65,2250.60,2251.19,3743.90,2025.00,947079.00,54661.00
10-Mar-25,EQ,Monday,March,Q1,2025,2245.00,2288.00,2220.00,2247.50,2224.40,2228.30,2258.17,3743.90,2025.00,940113.00,57381.00
7-Mar-25,EQ,Friday,March,Q1,2025,2249.95,2267.65,2227.00,2252.85,2249.50,2247.50,2247.94,3743.90,2025.00,818806.00,44934.00
6-Mar-25,EQ,Thursday,March,Q1,2025,2260.00,2268.90,2226.15,2245.85,2251.00,2252.85,2250.92,3743.90,2025.00,890270.00,81763.00
5-Mar-25,EQ,Wednesday,March,Q1,2025,2153.95,2258.40,2148.05,2144.80,2242.00,2245.85,2219.60,3743.90,2025.00,1370106.00,81480.00
4-Mar-25,EQ,Tuesday,March,Q1,2025,2085.10,2154.00,2080.00,2117.10,2147.60,2144.80,2133.91,3743.90,2025.00,852978.00,56864.00
3-Mar-25,EQ,Monday,March,Q1,2025,2109.00,2127.25,2026.55,2096.00,2122.00,2117.10,2078.96,3743.90,2025.00,1592611.00,105782.00
28-Feb-25,EQ,Friday,February,Q1,2025,2107.00,2111.35,2072.00,2110.95,2097.55,2096.00,2093.84,3743.90,2025.00,2373922.00,99109.00
27-Feb-25,EQ,Thursday,February,Q1,2025,2143.75,2149.10,2102.50,2129.85,2108.00,2110.95,2122.60,3743.90,2025.00,941950.00,63169.00
25-Feb-25,EQ,Tuesday,February,Q1,2025,2115.15,2158.30,2102.00,2115.15,2130.00,2129.85,2137.55,3743.90,2025.00,802131.00,56102.00
24-Feb-25,EQ,Monday,February,Q1,2025,2128.95,2138.50,2096.70,2133.10,2114.90,2115.15,2116.22,3743.90,2025.00,1032294.00,73399.00
21-Feb-25,EQ,Friday,February,Q1,2025,2190.45,2199.60,2116.85,2179.00,2125.00,2133.10,2152.24,3743.90,2025.00,1540308.00,85375.00
20-Feb-25,EQ,Thursday,February,Q1,2025,2180.80,2216.35,2156.80,2180.80,2178.00,2179.00,2187.58,3743.90,2025.00,1086670.00,74127.00
19-Feb-25,EQ,Wednesday,February,Q1,2025,2166.00,2219.40,2127.00,2220.30,2177.00,2180.80,2187.51,3743.90,2025.00,1203163.00,77627.00
18-Feb-25,EQ,Tuesday,February,Q1,2025,2240.00,2240.00,2166.05,2223.70,2213.05,2220.30,2199.31,3743.90,2025.00,1138090.00,75933.00
17-Feb-25,EQ,Monday,February,Q1,2025,2152.65,2240.40,2110.65,2152.65,2237.30,2223.70,2180.52,3743.90,2025.00,1400160.00,101955.00
14-Feb-25,EQ,Friday,February,Q1,2025,2245.70,2249.30,2124.55,2244.70,2149.00,2152.65,2173.43,3743.90,2025.00,2550043.00,151036.00
13-Feb-25,EQ,Thursday,February,Q1,2025,2354.00,2372.75,2233.40,2353.45,2237.45,2244.70,2296.20,3743.90,2025.00,2551940.00,133317.00
12-Feb-25,EQ,Wednesday,February,Q1,2025,2325.00,2378.45,2281.00,2321.75,2357.00,2353.45,2330.04,3743.90,2025.00,1933098.00,117486.00
11-Feb-25,EQ,Tuesday,February,Q1,2025,2312.00,2397.00,2306.00,2290.80,2321.00,2321.75,2356.84,3743.90,2025.00,4895456.00,217468.00
10-Feb-25,EQ,Monday,February,Q1,2025,2350.00,2350.95,2280.10,2338.80,2287.00,2290.80,2299.96,3743.90,2025.00,739708.00,48267.00
7-Feb-25,EQ,Friday,February,Q1,2025,2312.45,2374.90,2307.35,2312.45,2340.00,2338.80,2340.71,3743.90,2025.00,892900.00,65292.00
6-Feb-25,EQ,Thursday,February,Q1,2025,2340.00,2340.00,2298.20,2324.60,2309.00,2312.45,2313.94,3743.90,2025.00,680544.00,56800.00
5-Feb-25,EQ,Wednesday,February,Q1,2025,2314.95,2349.40,2309.05,2301.50,2326.80,2324.60,2325.60,3743.90,2025.00,560940.00,43537.00
4-Feb-25,EQ,Tuesday,February,Q1,2025,2278.90,2312.00,2267.55,2261.85,2303.25,2301.50,2295.26,3743.90,2025.00,691187.00,55343.00
3-Feb-25,EQ,Monday,February,Q1,2025,2266.75,2279.00,2213.90,2270.00,2266.90,2261.85,2247.60,3743.90,2025.00,824942.00,63131.00
1-Feb-25,EQ,Saturday,February,Q1,2025,2297.00,2351.45,2237.55,2287.80,2269.95,2270.00,2290.99,3743.90,2025.00,987362.00,60333.00
31-Jan-25,EQ,Friday,January,Q1,2025,2238.85,2314.95,2213.75,2252.60,2297.00,2287.80,2280.98,3743.90,2025.00,2013345.00,96876.00
30-Jan-25,EQ,Thursday,January,Q1,2025,2325.00,2351.50,2201.30,2318.60,2247.90,2252.60,2267.93,3743.90,2025.00,2601625.00,146148.00
29-Jan-25,EQ,Wednesday,January,Q1,2025,2297.00,2326.25,2282.60,2286.05,2321.80,2318.60,2311.65,3743.90,2025.00,785220.00,54577.00
28-Jan-25,EQ,Tuesday,January,Q1,2025,2274.20,2315.85,2242.00,2259.70,2293.50,2286.05,2280.67,3743.90,2025.00,966497.00,68907.00
27-Jan-25,EQ,Monday,January,Q1,2025,2310.05,2318.10,2250.05,2315.10,2259.05,2259.70,2283.92,3743.90,2025.00,1032995.00,70412.00
24-Jan-25,EQ,Friday,January,Q1,2025,2387.75,2406.00,2299.40,2385.00,2314.05,2315.10,2350.05,3743.90,2025.00,1388583.00,82631.00
23-Jan-25,EQ,Thursday,January,Q1,2025,2383.00,2405.15,2355.00,2376.55,2376.30,2385.00,2383.47,3743.90,2025.00,826721.00,57688.00
22-Jan-25,EQ,Wednesday,January,Q1,2025,2399.00,2399.00,2325.15,2384.30,2377.00,2376.55,2350.04,3743.90,2025.00,1147334.00,70492.00
21-Jan-25,EQ,Tuesday,January,Q1,2025,2441.75,2441.75,2373.65,2442.80,2375.00,2384.30,2398.89,3743.90,2025.00,1206512.00,75686.00
20-Jan-25,EQ,Monday,January,Q1,2025,2413.75,2454.00,2390.00,2399.80,2434.10,2442.80,2424.85,3743.90,2025.00,1039435.00,62157.00
17-Jan-25,EQ,Friday,January,Q1,2025,2450.00,2450.00,2380.05,2427.85,2399.50,2399.80,2404.16,3743.90,2025.00,1122205.00,72852.00
16-Jan-25,EQ,Thursday,January,Q1,2025,2500.00,2570.00,2418.85,2388.15,2433.00,2427.85,2461.44,3743.90,2025.00,2841803.00,169165.00
15-Jan-25,EQ,Wednesday,January,Q1,2025,2399.00,2421.95,2372.65,2380.55,2377.70,2388.15,2394.10,3743.90,2025.00,1421437.00,89565.00
14-Jan-25,EQ,Tuesday,January,Q1,2025,2241.50,2422.90,2241.50,2225.15,2382.00,2380.55,2370.68,3743.90,2025.00,4120705.00,239191.00
13-Jan-25,EQ,Monday,January,Q1,2025,2365.00,2365.00,2216.90,2374.40,2227.00,2225.15,2280.87,3743.90,2025.00,1559903.00,104906.00
10-Jan-25,EQ,Friday,January,Q1,2025,2480.00,2484.60,2368.25,2477.90,2380.10,2374.40,2407.11,3743.90,2025.00,1418808.00,108945.00
9-Jan-25,EQ,Thursday,January,Q1,2025,2517.00,2517.55,2469.50,2515.25,2484.85,2477.90,2487.61,3743.90,2025.00,705838.00,60127.00
8-Jan-25,EQ,Wednesday,January,Q1,2025,2520.55,2530.00,2490.00,2520.55,2511.20,2515.25,2509.14,3743.90,2025.00,879641.00,74141.00
7-Jan-25,EQ,Tuesday,January,Q1,2025,2474.65,2525.00,2474.65,2474.45,2524.80,2520.55,2510.58,3743.90,2025.00,1019131.00,69952.00
6-Jan-25,EQ,Monday,January,Q1,2025,2557.65,2568.85,2463.50,2564.60,2472.00,2474.45,2497.27,3743.90,2025.00,1121398.00,88877.00
3-Jan-25,EQ,Friday,January,Q1,2025,2580.00,2619.00,2556.60,2597.70,2562.00,2564.60,2589.16,3743.90,2025.00,932795.00,52144.00
2-Jan-25,EQ,Thursday,January,Q1,2025,2565.70,2602.00,2537.00,2554.85,2587.85,2597.70,2569.89,3743.90,2025.00,1167236.00,73015.00
1-Jan-25,EQ,Wednesday,January,Q1,2025,2536.00,2644.20,2518.25,2528.65,2545.90,2554.85,2561.31,3743.90,2025.00,2875721.00,140672.00
31-Dec-24,EQ,Tuesday,December,Q4,2024,2575.00,2577.75,2507.45,2592.35,2530.00,2528.65,2531.14,3743.90,2025.00,2745674.00,124232.00
30-Dec-24,EQ,Monday,December,Q4,2024,2425.00,2610.00,2421.95,2409.95,2585.00,2592.35,2549.07,3743.90,2025.00,7825097.00,338992.00
27-Dec-24,EQ,Friday,December,Q4,2024,2415.00,2446.15,2390.50,2400.25,2420.00,2409.95,2421.00,3743.90,2025.00,1982291.00,73559.00
26-Dec-24,EQ,Thursday,December,Q4,2024,2378.05,2410.00,2368.00,2372.45,2401.00,2400.25,2389.27,3743.90,2025.00,895785.00,63476.00
24-Dec-24,EQ,Tuesday,December,Q4,2024,2355.20,2412.90,2340.00,2338.95,2372.00,2372.45,2381.05,3743.90,2025.00,1156186.00,70017.00
23-Dec-24,EQ,Monday,December,Q4,2024,2373.95,2379.50,2332.75,2344.95,2346.00,2338.95,2351.63,3743.90,2025.00,758920.00,54920.00
20-Dec-24,EQ,Friday,December,Q4,2024,2429.00,2453.85,2333.00,2419.35,2349.20,2344.95,2403.77,3743.90,2025.00,1337016.00,75322.00
